id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b20414821_002-552,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b20414821_002-552?routing=ukmhl-b20414821_002,552,538,b20414821_002,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/17/items/b20414821_002/b20414821_002_alto/coordinates/552.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/17/items/b20414821_002/b20414821_002_thumb/b20414821_002_0552.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/17/items/b20414821_002/b20414821_002_jp2/b20414821_002_0552.jp2
ukmhl-b20414821_002-551,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b20414821_002-551?routing=ukmhl-b20414821_002,551,537,b20414821_002,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/17/items/b20414821_002/b20414821_002_alto/coordinates/551.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/17/items/b20414821_002/b20414821_002_thumb/b20414821_002_0551.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/17/items/b20414821_002/b20414821_002_jp2/b20414821_002_0551.jp2
ukmhl-b20414821_002-295,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b20414821_002-295?routing=ukmhl-b20414821_002,295,281,b20414821_002,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/17/items/b20414821_002/b20414821_002_alto/coordinates/295.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/17/items/b20414821_002/b20414821_002_thumb/b20414821_002_0295.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/17/items/b20414821_002/b20414821_002_jp2/b20414821_002_0295.jp2
ukmhl-b20414821_002-163,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b20414821_002-163?routing=ukmhl-b20414821_002,163,149,b20414821_002,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/17/items/b20414821_002/b20414821_002_alto/coordinates/163.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/17/items/b20414821_002/b20414821_002_thumb/b20414821_002_0163.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/17/items/b20414821_002/b20414821_002_jp2/b20414821_002_0163.jp2
ukmhl-b20414821_002-217,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b20414821_002-217?routing=ukmhl-b20414821_002,217,203,b20414821_002,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/17/items/b20414821_002/b20414821_002_alto/coordinates/217.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/17/items/b20414821_002/b20414821_002_thumb/b20414821_002_0217.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/17/items/b20414821_002/b20414821_002_jp2/b20414821_002_0217.jp2
ukmhl-b20414821_002-216,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b20414821_002-216?routing=ukmhl-b20414821_002,216,202,b20414821_002,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/17/items/b20414821_002/b20414821_002_alto/coordinates/216.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/17/items/b20414821_002/b20414821_002_thumb/b20414821_002_0216.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/17/items/b20414821_002/b20414821_002_jp2/b20414821_002_0216.jp2
ukmhl-b20414821_002-473,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b20414821_002-473?routing=ukmhl-b20414821_002,473,459,b20414821_002,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/17/items/b20414821_002/b20414821_002_alto/coordinates/473.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/17/items/b20414821_002/b20414821_002_thumb/b20414821_002_0473.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/17/items/b20414821_002/b20414821_002_jp2/b20414821_002_0473.jp2
ukmhl-b20414821_002-432,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b20414821_002-432?routing=ukmhl-b20414821_002,432,418,b20414821_002,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/17/items/b20414821_002/b20414821_002_alto/coordinates/432.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/17/items/b20414821_002/b20414821_002_thumb/b20414821_002_0432.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/17/items/b20414821_002/b20414821_002_jp2/b20414821_002_0432.jp2
ukmhl-b20414821_002-452,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b20414821_002-452?routing=ukmhl-b20414821_002,452,438,b20414821_002,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/17/items/b20414821_002/b20414821_002_alto/coordinates/452.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/17/items/b20414821_002/b20414821_002_thumb/b20414821_002_0452.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/17/items/b20414821_002/b20414821_002_jp2/b20414821_002_0452.jp2
ukmhl-b20414821_002-477,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b20414821_002-477?routing=ukmhl-b20414821_002,477,463,b20414821_002,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/17/items/b20414821_002/b20414821_002_alto/coordinates/477.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/17/items/b20414821_002/b20414821_002_thumb/b20414821_002_0477.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/17/items/b20414821_002/b20414821_002_jp2/b20414821_002_0477.jp2
