id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b2151995x-723,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2151995x-723?routing=ukmhl-b2151995x,723,707,b2151995x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/6/items/b2151995x/b2151995x_alto/coordinates/723.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/6/items/b2151995x/b2151995x_thumb/b2151995x_0723.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/6/items/b2151995x/b2151995x_jp2/b2151995x_0723.jp2
ukmhl-b2151995x-402,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2151995x-402?routing=ukmhl-b2151995x,402,386,b2151995x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/6/items/b2151995x/b2151995x_alto/coordinates/402.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/6/items/b2151995x/b2151995x_thumb/b2151995x_0402.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/6/items/b2151995x/b2151995x_jp2/b2151995x_0402.jp2
ukmhl-b2151995x-499,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2151995x-499?routing=ukmhl-b2151995x,499,483,b2151995x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/6/items/b2151995x/b2151995x_alto/coordinates/499.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/6/items/b2151995x/b2151995x_thumb/b2151995x_0499.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/6/items/b2151995x/b2151995x_jp2/b2151995x_0499.jp2
ukmhl-b2151995x-504,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2151995x-504?routing=ukmhl-b2151995x,504,488,b2151995x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/6/items/b2151995x/b2151995x_alto/coordinates/504.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/6/items/b2151995x/b2151995x_thumb/b2151995x_0504.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/6/items/b2151995x/b2151995x_jp2/b2151995x_0504.jp2
ukmhl-b2151995x-188,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2151995x-188?routing=ukmhl-b2151995x,188,172,b2151995x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/6/items/b2151995x/b2151995x_alto/coordinates/188.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/6/items/b2151995x/b2151995x_thumb/b2151995x_0188.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/6/items/b2151995x/b2151995x_jp2/b2151995x_0188.jp2
ukmhl-b2151995x-386,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2151995x-386?routing=ukmhl-b2151995x,386,370,b2151995x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/6/items/b2151995x/b2151995x_alto/coordinates/386.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/6/items/b2151995x/b2151995x_thumb/b2151995x_0386.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/6/items/b2151995x/b2151995x_jp2/b2151995x_0386.jp2
ukmhl-b2151995x-566,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2151995x-566?routing=ukmhl-b2151995x,566,550,b2151995x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/6/items/b2151995x/b2151995x_alto/coordinates/566.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/6/items/b2151995x/b2151995x_thumb/b2151995x_0566.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/6/items/b2151995x/b2151995x_jp2/b2151995x_0566.jp2
ukmhl-b2151995x-689,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2151995x-689?routing=ukmhl-b2151995x,689,673,b2151995x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/6/items/b2151995x/b2151995x_alto/coordinates/689.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/6/items/b2151995x/b2151995x_thumb/b2151995x_0689.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/6/items/b2151995x/b2151995x_jp2/b2151995x_0689.jp2
ukmhl-b2151995x-750,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2151995x-750?routing=ukmhl-b2151995x,750,734,b2151995x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/6/items/b2151995x/b2151995x_alto/coordinates/750.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/6/items/b2151995x/b2151995x_thumb/b2151995x_0750.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/6/items/b2151995x/b2151995x_jp2/b2151995x_0750.jp2
ukmhl-b2151995x-711,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2151995x-711?routing=ukmhl-b2151995x,711,695,b2151995x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/6/items/b2151995x/b2151995x_alto/coordinates/711.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/6/items/b2151995x/b2151995x_thumb/b2151995x_0711.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/6/items/b2151995x/b2151995x_jp2/b2151995x_0711.jp2
