id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b22361005-15,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b22361005-15?routing=ukmhl-b22361005,15,15,b22361005,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/11/items/b22361005/b22361005_alto/coordinates/15.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/11/items/b22361005/b22361005_thumb/b22361005_0017.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/11/items/b22361005/b22361005_jp2/b22361005_0017.jp2
ukmhl-b22361005-9,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b22361005-9?routing=ukmhl-b22361005,9,9,b22361005,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/11/items/b22361005/b22361005_alto/coordinates/9.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/11/items/b22361005/b22361005_thumb/b22361005_0011.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/11/items/b22361005/b22361005_jp2/b22361005_0011.jp2
ukmhl-b22361005-8,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b22361005-8?routing=ukmhl-b22361005,8,8,b22361005,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/11/items/b22361005/b22361005_alto/coordinates/8.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/11/items/b22361005/b22361005_thumb/b22361005_0010.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/11/items/b22361005/b22361005_jp2/b22361005_0010.jp2
ukmhl-b22361005-13,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b22361005-13?routing=ukmhl-b22361005,13,13,b22361005,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/11/items/b22361005/b22361005_alto/coordinates/13.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/11/items/b22361005/b22361005_thumb/b22361005_0015.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/11/items/b22361005/b22361005_jp2/b22361005_0015.jp2
ukmhl-b22361005-18,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b22361005-18?routing=ukmhl-b22361005,18,18,b22361005,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/11/items/b22361005/b22361005_alto/coordinates/18.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/11/items/b22361005/b22361005_thumb/b22361005_0020.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/11/items/b22361005/b22361005_jp2/b22361005_0020.jp2
ukmhl-b22361005-21,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b22361005-21?routing=ukmhl-b22361005,21,21,b22361005,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/11/items/b22361005/b22361005_alto/coordinates/21.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/11/items/b22361005/b22361005_thumb/b22361005_0023.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/11/items/b22361005/b22361005_jp2/b22361005_0023.jp2
ukmhl-b22361005-10,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b22361005-10?routing=ukmhl-b22361005,10,10,b22361005,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/11/items/b22361005/b22361005_alto/coordinates/10.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/11/items/b22361005/b22361005_thumb/b22361005_0012.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/11/items/b22361005/b22361005_jp2/b22361005_0012.jp2
ukmhl-b22361005-11,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b22361005-11?routing=ukmhl-b22361005,11,11,b22361005,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/11/items/b22361005/b22361005_alto/coordinates/11.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/11/items/b22361005/b22361005_thumb/b22361005_0013.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/11/items/b22361005/b22361005_jp2/b22361005_0013.jp2
ukmhl-b22361005-24,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b22361005-24?routing=ukmhl-b22361005,24,24,b22361005,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/11/items/b22361005/b22361005_alto/coordinates/24.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/11/items/b22361005/b22361005_thumb/b22361005_0026.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/11/items/b22361005/b22361005_jp2/b22361005_0026.jp2
ukmhl-b22361005-16,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b22361005-16?routing=ukmhl-b22361005,16,16,b22361005,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/11/items/b22361005/b22361005_alto/coordinates/16.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/11/items/b22361005/b22361005_thumb/b22361005_0018.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/11/items/b22361005/b22361005_jp2/b22361005_0018.jp2
