id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b2840743x-90,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2840743x-90?routing=ukmhl-b2840743x,90,48,b2840743x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2840743x/b2840743x_alto/coordinates/90.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b2840743x/b2840743x_thumb/b2840743x_0090.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b2840743x/b2840743x_jp2/b2840743x_0090.jp2
ukmhl-b2840743x-347,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2840743x-347?routing=ukmhl-b2840743x,347,-,b2840743x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2840743x/b2840743x_alto/coordinates/347.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b2840743x/b2840743x_thumb/b2840743x_0347.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b2840743x/b2840743x_jp2/b2840743x_0347.jp2
ukmhl-b2840743x-35,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2840743x-35?routing=ukmhl-b2840743x,35,15,b2840743x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2840743x/b2840743x_alto/coordinates/35.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b2840743x/b2840743x_thumb/b2840743x_0035.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b2840743x/b2840743x_jp2/b2840743x_0035.jp2
ukmhl-b2840743x-420,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2840743x-420?routing=ukmhl-b2840743x,420,142,b2840743x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2840743x/b2840743x_alto/coordinates/420.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b2840743x/b2840743x_thumb/b2840743x_0420.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b2840743x/b2840743x_jp2/b2840743x_0420.jp2
ukmhl-b2840743x-213,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2840743x-213?routing=ukmhl-b2840743x,213,-,b2840743x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2840743x/b2840743x_alto/coordinates/213.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b2840743x/b2840743x_thumb/b2840743x_0213.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b2840743x/b2840743x_jp2/b2840743x_0213.jp2
ukmhl-b2840743x-93,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2840743x-93?routing=ukmhl-b2840743x,93,51,b2840743x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2840743x/b2840743x_alto/coordinates/93.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b2840743x/b2840743x_thumb/b2840743x_0093.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b2840743x/b2840743x_jp2/b2840743x_0093.jp2
ukmhl-b2840743x-464,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2840743x-464?routing=ukmhl-b2840743x,464,186,b2840743x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2840743x/b2840743x_alto/coordinates/464.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b2840743x/b2840743x_thumb/b2840743x_0464.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b2840743x/b2840743x_jp2/b2840743x_0464.jp2
ukmhl-b2840743x-474,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2840743x-474?routing=ukmhl-b2840743x,474,196,b2840743x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2840743x/b2840743x_alto/coordinates/474.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b2840743x/b2840743x_thumb/b2840743x_0474.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b2840743x/b2840743x_jp2/b2840743x_0474.jp2
ukmhl-b2840743x-257,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2840743x-257?routing=ukmhl-b2840743x,257,-,b2840743x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2840743x/b2840743x_alto/coordinates/257.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b2840743x/b2840743x_thumb/b2840743x_0257.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b2840743x/b2840743x_jp2/b2840743x_0257.jp2
ukmhl-b2840743x-477,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2840743x-477?routing=ukmhl-b2840743x,477,199,b2840743x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2840743x/b2840743x_alto/coordinates/477.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b2840743x/b2840743x_thumb/b2840743x_0477.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b2840743x/b2840743x_jp2/b2840743x_0477.jp2
ukmhl-b2840743x-285,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2840743x-285?routing=ukmhl-b2840743x,285,55,b2840743x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2840743x/b2840743x_alto/coordinates/285.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b2840743x/b2840743x_thumb/b2840743x_0285.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b2840743x/b2840743x_jp2/b2840743x_0285.jp2
ukmhl-b2840743x-478,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2840743x-478?routing=ukmhl-b2840743x,478,200,b2840743x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2840743x/b2840743x_alto/coordinates/478.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b2840743x/b2840743x_thumb/b2840743x_0478.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b2840743x/b2840743x_jp2/b2840743x_0478.jp2
ukmhl-b2840743x-327,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2840743x-327?routing=ukmhl-b2840743x,327,-,b2840743x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2840743x/b2840743x_alto/coordinates/327.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b2840743x/b2840743x_thumb/b2840743x_0327.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b2840743x/b2840743x_jp2/b2840743x_0327.jp2
ukmhl-b2840743x-97,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2840743x-97?routing=ukmhl-b2840743x,97,55,b2840743x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2840743x/b2840743x_alto/coordinates/97.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b2840743x/b2840743x_thumb/b2840743x_0097.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b2840743x/b2840743x_jp2/b2840743x_0097.jp2
ukmhl-b2840743x-304,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2840743x-304?routing=ukmhl-b2840743x,304,70,b2840743x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2840743x/b2840743x_alto/coordinates/304.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b2840743x/b2840743x_thumb/b2840743x_0304.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b2840743x/b2840743x_jp2/b2840743x_0304.jp2
ukmhl-b2840743x-299,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2840743x-299?routing=ukmhl-b2840743x,299,65,b2840743x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2840743x/b2840743x_alto/coordinates/299.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b2840743x/b2840743x_thumb/b2840743x_0299.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b2840743x/b2840743x_jp2/b2840743x_0299.jp2
ukmhl-b2840743x-362,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2840743x-362?routing=ukmhl-b2840743x,362,-,b2840743x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2840743x/b2840743x_alto/coordinates/362.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b2840743x/b2840743x_thumb/b2840743x_0362.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b2840743x/b2840743x_jp2/b2840743x_0362.jp2
ukmhl-b2840743x-57,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2840743x-57?routing=ukmhl-b2840743x,57,15,b2840743x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2840743x/b2840743x_alto/coordinates/57.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b2840743x/b2840743x_thumb/b2840743x_0057.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b2840743x/b2840743x_jp2/b2840743x_0057.jp2
ukmhl-b2840743x-388,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2840743x-388?routing=ukmhl-b2840743x,388,110,b2840743x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2840743x/b2840743x_alto/coordinates/388.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b2840743x/b2840743x_thumb/b2840743x_0388.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b2840743x/b2840743x_jp2/b2840743x_0388.jp2
ukmhl-b2840743x-415,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2840743x-415?routing=ukmhl-b2840743x,415,137,b2840743x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2840743x/b2840743x_alto/coordinates/415.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b2840743x/b2840743x_thumb/b2840743x_0415.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/32/items/b2840743x/b2840743x_jp2/b2840743x_0415.jp2
