id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b28522862-99,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b28522862-99?routing=ukmhl-b28522862,99,-,b28522862,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/5/items/b28522862/b28522862_alto/coordinates/99.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/5/items/b28522862/b28522862_thumb/b28522862_0159.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/5/items/b28522862/b28522862_jp2/b28522862_0159.jp2
ukmhl-b28522862-160,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b28522862-160?routing=ukmhl-b28522862,160,-,b28522862,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/5/items/b28522862/b28522862_alto/coordinates/160.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/5/items/b28522862/b28522862_thumb/b28522862_0254.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/5/items/b28522862/b28522862_jp2/b28522862_0254.jp2
ukmhl-b28522862-71,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b28522862-71?routing=ukmhl-b28522862,71,19,b28522862,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/5/items/b28522862/b28522862_alto/coordinates/71.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/5/items/b28522862/b28522862_thumb/b28522862_0111.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/5/items/b28522862/b28522862_jp2/b28522862_0111.jp2
ukmhl-b28522862-119,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b28522862-119?routing=ukmhl-b28522862,119,-,b28522862,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/5/items/b28522862/b28522862_alto/coordinates/119.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/5/items/b28522862/b28522862_thumb/b28522862_0192.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/5/items/b28522862/b28522862_jp2/b28522862_0192.jp2
ukmhl-b28522862-58,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b28522862-58?routing=ukmhl-b28522862,58,-,b28522862,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/5/items/b28522862/b28522862_alto/coordinates/58.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/5/items/b28522862/b28522862_thumb/b28522862_0090.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/5/items/b28522862/b28522862_jp2/b28522862_0090.jp2
ukmhl-b28522862-5,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b28522862-5?routing=ukmhl-b28522862,5,-,b28522862,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/5/items/b28522862/b28522862_alto/coordinates/5.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/5/items/b28522862/b28522862_thumb/b28522862_0005.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/5/items/b28522862/b28522862_jp2/b28522862_0005.jp2
ukmhl-b28522862-112,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b28522862-112?routing=ukmhl-b28522862,112,-,b28522862,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/5/items/b28522862/b28522862_alto/coordinates/112.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/5/items/b28522862/b28522862_thumb/b28522862_0179.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/5/items/b28522862/b28522862_jp2/b28522862_0179.jp2
ukmhl-b28522862-33,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b28522862-33?routing=ukmhl-b28522862,33,7,b28522862,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/5/items/b28522862/b28522862_alto/coordinates/33.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/5/items/b28522862/b28522862_thumb/b28522862_0047.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/5/items/b28522862/b28522862_jp2/b28522862_0047.jp2
ukmhl-b28522862-102,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b28522862-102?routing=ukmhl-b28522862,102,-,b28522862,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/5/items/b28522862/b28522862_alto/coordinates/102.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/5/items/b28522862/b28522862_thumb/b28522862_0163.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/5/items/b28522862/b28522862_jp2/b28522862_0163.jp2
ukmhl-b28522862-136,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b28522862-136?routing=ukmhl-b28522862,136,-,b28522862,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/5/items/b28522862/b28522862_alto/coordinates/136.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/5/items/b28522862/b28522862_thumb/b28522862_0215.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/5/items/b28522862/b28522862_jp2/b28522862_0215.jp2
