id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b21466853-420,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21466853-420,420,404,b21466853,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/19/items/b21466853/b21466853_alto/coordinates/420.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/19/items/b21466853/b21466853_thumb/b21466853_0422.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/19/items/b21466853/b21466853_jp2/b21466853_0422.jp2
ukmhl-b21466853-248,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21466853-248,248,220,b21466853,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/19/items/b21466853/b21466853_alto/coordinates/248.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/19/items/b21466853/b21466853_thumb/b21466853_0250.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/19/items/b21466853/b21466853_jp2/b21466853_0250.jp2
ukmhl-b21466853-43,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21466853-43,43,15,b21466853,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/19/items/b21466853/b21466853_alto/coordinates/43.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/19/items/b21466853/b21466853_thumb/b21466853_0045.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/19/items/b21466853/b21466853_jp2/b21466853_0045.jp2
ukmhl-b21466853-28,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21466853-28,28,-,b21466853,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/19/items/b21466853/b21466853_alto/coordinates/28.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/19/items/b21466853/b21466853_thumb/b21466853_0030.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/19/items/b21466853/b21466853_jp2/b21466853_0030.jp2
ukmhl-b21466853-176,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21466853-176,176,148,b21466853,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/19/items/b21466853/b21466853_alto/coordinates/176.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/19/items/b21466853/b21466853_thumb/b21466853_0178.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/19/items/b21466853/b21466853_jp2/b21466853_0178.jp2
ukmhl-b21466853-151,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21466853-151,151,123,b21466853,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/19/items/b21466853/b21466853_alto/coordinates/151.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/19/items/b21466853/b21466853_thumb/b21466853_0153.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/19/items/b21466853/b21466853_jp2/b21466853_0153.jp2
ukmhl-b21466853-332,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21466853-332,332,312,b21466853,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/19/items/b21466853/b21466853_alto/coordinates/332.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/19/items/b21466853/b21466853_thumb/b21466853_0334.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/19/items/b21466853/b21466853_jp2/b21466853_0334.jp2
ukmhl-b21466853-432,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21466853-432,432,-,b21466853,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/19/items/b21466853/b21466853_alto/coordinates/432.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/19/items/b21466853/b21466853_thumb/b21466853_0434.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/19/items/b21466853/b21466853_jp2/b21466853_0434.jp2
ukmhl-b21466853-96,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21466853-96,96,68,b21466853,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/19/items/b21466853/b21466853_alto/coordinates/96.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/19/items/b21466853/b21466853_thumb/b21466853_0098.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/19/items/b21466853/b21466853_jp2/b21466853_0098.jp2
ukmhl-b21466853-195,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21466853-195,195,167,b21466853,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/19/items/b21466853/b21466853_alto/coordinates/195.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/19/items/b21466853/b21466853_thumb/b21466853_0197.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/19/items/b21466853/b21466853_jp2/b21466853_0197.jp2
