id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b2147185x_0002-622,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2147185x_0002-622,622,1132,b2147185x_0002,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/33/items/b2147185x_0002/b2147185x_0002_alto/coordinates/622.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/33/items/b2147185x_0002/b2147185x_0002_thumb/b2147185x_0002_0622.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/33/items/b2147185x_0002/b2147185x_0002_jp2/b2147185x_0002_0622.jp2
ukmhl-b2147185x_0002-246,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2147185x_0002-246,246,756,b2147185x_0002,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/33/items/b2147185x_0002/b2147185x_0002_alto/coordinates/246.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/33/items/b2147185x_0002/b2147185x_0002_thumb/b2147185x_0002_0246.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/33/items/b2147185x_0002/b2147185x_0002_jp2/b2147185x_0002_0246.jp2
ukmhl-b2147185x_0002-90,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2147185x_0002-90,90,600,b2147185x_0002,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/33/items/b2147185x_0002/b2147185x_0002_alto/coordinates/90.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/33/items/b2147185x_0002/b2147185x_0002_thumb/b2147185x_0002_0090.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/33/items/b2147185x_0002/b2147185x_0002_jp2/b2147185x_0002_0090.jp2
ukmhl-b2147185x_0002-123,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2147185x_0002-123,123,633,b2147185x_0002,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/33/items/b2147185x_0002/b2147185x_0002_alto/coordinates/123.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/33/items/b2147185x_0002/b2147185x_0002_thumb/b2147185x_0002_0123.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/33/items/b2147185x_0002/b2147185x_0002_jp2/b2147185x_0002_0123.jp2
ukmhl-b2147185x_0002-445,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2147185x_0002-445,445,955,b2147185x_0002,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/33/items/b2147185x_0002/b2147185x_0002_alto/coordinates/445.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/33/items/b2147185x_0002/b2147185x_0002_thumb/b2147185x_0002_0445.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/33/items/b2147185x_0002/b2147185x_0002_jp2/b2147185x_0002_0445.jp2
ukmhl-b2147185x_0002-299,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2147185x_0002-299,299,809,b2147185x_0002,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/33/items/b2147185x_0002/b2147185x_0002_alto/coordinates/299.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/33/items/b2147185x_0002/b2147185x_0002_thumb/b2147185x_0002_0299.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/33/items/b2147185x_0002/b2147185x_0002_jp2/b2147185x_0002_0299.jp2
ukmhl-b2147185x_0002-668,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2147185x_0002-668,668,1178,b2147185x_0002,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/33/items/b2147185x_0002/b2147185x_0002_alto/coordinates/668.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/33/items/b2147185x_0002/b2147185x_0002_thumb/b2147185x_0002_0668.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/33/items/b2147185x_0002/b2147185x_0002_jp2/b2147185x_0002_0668.jp2
ukmhl-b2147185x_0002-662,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2147185x_0002-662,662,1172,b2147185x_0002,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/33/items/b2147185x_0002/b2147185x_0002_alto/coordinates/662.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/33/items/b2147185x_0002/b2147185x_0002_thumb/b2147185x_0002_0662.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/33/items/b2147185x_0002/b2147185x_0002_jp2/b2147185x_0002_0662.jp2
ukmhl-b2147185x_0002-283,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2147185x_0002-283,283,793,b2147185x_0002,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/33/items/b2147185x_0002/b2147185x_0002_alto/coordinates/283.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/33/items/b2147185x_0002/b2147185x_0002_thumb/b2147185x_0002_0283.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/33/items/b2147185x_0002/b2147185x_0002_jp2/b2147185x_0002_0283.jp2
ukmhl-b2147185x_0002-401,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2147185x_0002-401,401,911,b2147185x_0002,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/33/items/b2147185x_0002/b2147185x_0002_alto/coordinates/401.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/33/items/b2147185x_0002/b2147185x_0002_thumb/b2147185x_0002_0401.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/33/items/b2147185x_0002/b2147185x_0002_jp2/b2147185x_0002_0401.jp2
