id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b20387519-67,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b20387519-67?routing=ukmhl-b20387519,67,63,b20387519,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/11/items/b20387519/b20387519_alto/coordinates/67.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/11/items/b20387519/b20387519_thumb/b20387519_0067.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/11/items/b20387519/b20387519_jp2/b20387519_0067.jp2
ukmhl-b20387519-101,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b20387519-101?routing=ukmhl-b20387519,101,97,b20387519,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/11/items/b20387519/b20387519_alto/coordinates/101.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/11/items/b20387519/b20387519_thumb/b20387519_0101.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/11/items/b20387519/b20387519_jp2/b20387519_0101.jp2
ukmhl-b20387519-14,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b20387519-14?routing=ukmhl-b20387519,14,10,b20387519,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/11/items/b20387519/b20387519_alto/coordinates/14.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/11/items/b20387519/b20387519_thumb/b20387519_0014.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/11/items/b20387519/b20387519_jp2/b20387519_0014.jp2
ukmhl-b20387519-126,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b20387519-126?routing=ukmhl-b20387519,126,-,b20387519,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/11/items/b20387519/b20387519_alto/coordinates/126.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/11/items/b20387519/b20387519_thumb/b20387519_0126.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/11/items/b20387519/b20387519_jp2/b20387519_0126.jp2
ukmhl-b20387519-68,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b20387519-68?routing=ukmhl-b20387519,68,64,b20387519,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/11/items/b20387519/b20387519_alto/coordinates/68.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/11/items/b20387519/b20387519_thumb/b20387519_0068.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/11/items/b20387519/b20387519_jp2/b20387519_0068.jp2
ukmhl-b20387519-59,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b20387519-59?routing=ukmhl-b20387519,59,55,b20387519,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/11/items/b20387519/b20387519_alto/coordinates/59.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/11/items/b20387519/b20387519_thumb/b20387519_0059.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/11/items/b20387519/b20387519_jp2/b20387519_0059.jp2
ukmhl-b20387519-19,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b20387519-19?routing=ukmhl-b20387519,19,15,b20387519,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/11/items/b20387519/b20387519_alto/coordinates/19.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/11/items/b20387519/b20387519_thumb/b20387519_0019.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/11/items/b20387519/b20387519_jp2/b20387519_0019.jp2
ukmhl-b20387519-64,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b20387519-64?routing=ukmhl-b20387519,64,60,b20387519,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/11/items/b20387519/b20387519_alto/coordinates/64.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/11/items/b20387519/b20387519_thumb/b20387519_0064.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/11/items/b20387519/b20387519_jp2/b20387519_0064.jp2
ukmhl-b20387519-41,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b20387519-41?routing=ukmhl-b20387519,41,37,b20387519,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/11/items/b20387519/b20387519_alto/coordinates/41.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/11/items/b20387519/b20387519_thumb/b20387519_0041.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/11/items/b20387519/b20387519_jp2/b20387519_0041.jp2
ukmhl-b20387519-128,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b20387519-128?routing=ukmhl-b20387519,128,-,b20387519,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/11/items/b20387519/b20387519_alto/coordinates/128.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/11/items/b20387519/b20387519_thumb/b20387519_0128.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/11/items/b20387519/b20387519_jp2/b20387519_0128.jp2
