id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b21530348_0001-140,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21530348_0001-140?routing=ukmhl-b21530348_0001,140,120,b21530348_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b21530348_0001/b21530348_0001_alto/coordinates/140.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b21530348_0001/b21530348_0001_thumb/b21530348_0001_0142.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b21530348_0001/b21530348_0001_jp2/b21530348_0001_0142.jp2
ukmhl-b21530348_0001-266,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21530348_0001-266?routing=ukmhl-b21530348_0001,266,240,b21530348_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b21530348_0001/b21530348_0001_alto/coordinates/266.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b21530348_0001/b21530348_0001_thumb/b21530348_0001_0270.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b21530348_0001/b21530348_0001_jp2/b21530348_0001_0270.jp2
ukmhl-b21530348_0001-173,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21530348_0001-173?routing=ukmhl-b21530348_0001,173,149,b21530348_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b21530348_0001/b21530348_0001_alto/coordinates/173.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b21530348_0001/b21530348_0001_thumb/b21530348_0001_0175.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b21530348_0001/b21530348_0001_jp2/b21530348_0001_0175.jp2
ukmhl-b21530348_0001-29,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21530348_0001-29?routing=ukmhl-b21530348_0001,29,19,b21530348_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b21530348_0001/b21530348_0001_alto/coordinates/29.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b21530348_0001/b21530348_0001_thumb/b21530348_0001_0031.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b21530348_0001/b21530348_0001_jp2/b21530348_0001_0031.jp2
ukmhl-b21530348_0001-31,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21530348_0001-31?routing=ukmhl-b21530348_0001,31,21,b21530348_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b21530348_0001/b21530348_0001_alto/coordinates/31.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b21530348_0001/b21530348_0001_thumb/b21530348_0001_0033.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b21530348_0001/b21530348_0001_jp2/b21530348_0001_0033.jp2
ukmhl-b21530348_0001-210,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21530348_0001-210?routing=ukmhl-b21530348_0001,210,184,b21530348_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b21530348_0001/b21530348_0001_alto/coordinates/210.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b21530348_0001/b21530348_0001_thumb/b21530348_0001_0214.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b21530348_0001/b21530348_0001_jp2/b21530348_0001_0214.jp2
ukmhl-b21530348_0001-112,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21530348_0001-112?routing=ukmhl-b21530348_0001,112,94,b21530348_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b21530348_0001/b21530348_0001_alto/coordinates/112.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b21530348_0001/b21530348_0001_thumb/b21530348_0001_0114.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b21530348_0001/b21530348_0001_jp2/b21530348_0001_0114.jp2
ukmhl-b21530348_0001-219,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21530348_0001-219?routing=ukmhl-b21530348_0001,219,193,b21530348_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b21530348_0001/b21530348_0001_alto/coordinates/219.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b21530348_0001/b21530348_0001_thumb/b21530348_0001_0223.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b21530348_0001/b21530348_0001_jp2/b21530348_0001_0223.jp2
ukmhl-b21530348_0001-80,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21530348_0001-80?routing=ukmhl-b21530348_0001,80,66,b21530348_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b21530348_0001/b21530348_0001_alto/coordinates/80.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b21530348_0001/b21530348_0001_thumb/b21530348_0001_0082.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b21530348_0001/b21530348_0001_jp2/b21530348_0001_0082.jp2
ukmhl-b21530348_0001-12,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21530348_0001-12?routing=ukmhl-b21530348_0001,12,2,b21530348_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b21530348_0001/b21530348_0001_alto/coordinates/12.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b21530348_0001/b21530348_0001_thumb/b21530348_0001_0014.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b21530348_0001/b21530348_0001_jp2/b21530348_0001_0014.jp2
ukmhl-b21530348_0001-67,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21530348_0001-67?routing=ukmhl-b21530348_0001,67,53,b21530348_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b21530348_0001/b21530348_0001_alto/coordinates/67.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b21530348_0001/b21530348_0001_thumb/b21530348_0001_0069.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b21530348_0001/b21530348_0001_jp2/b21530348_0001_0069.jp2
ukmhl-b21530348_0001-9,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21530348_0001-9?routing=ukmhl-b21530348_0001,9,-,b21530348_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b21530348_0001/b21530348_0001_alto/coordinates/9.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b21530348_0001/b21530348_0001_thumb/b21530348_0001_0011.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b21530348_0001/b21530348_0001_jp2/b21530348_0001_0011.jp2
ukmhl-b21530348_0001-175,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21530348_0001-175?routing=ukmhl-b21530348_0001,175,151,b21530348_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b21530348_0001/b21530348_0001_alto/coordinates/175.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b21530348_0001/b21530348_0001_thumb/b21530348_0001_0177.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b21530348_0001/b21530348_0001_jp2/b21530348_0001_0177.jp2
ukmhl-b21530348_0001-243,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21530348_0001-243?routing=ukmhl-b21530348_0001,243,217,b21530348_0001,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b21530348_0001/b21530348_0001_alto/coordinates/243.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b21530348_0001/b21530348_0001_thumb/b21530348_0001_0247.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b21530348_0001/b21530348_0001_jp2/b21530348_0001_0247.jp2
