id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b2153813x-100,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2153813x-100?routing=ukmhl-b2153813x,100,96,b2153813x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2153813x/b2153813x_alto/coordinates/100.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/15/items/b2153813x/b2153813x_thumb/b2153813x_0100.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/15/items/b2153813x/b2153813x_jp2/b2153813x_0100.jp2
ukmhl-b2153813x-77,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2153813x-77?routing=ukmhl-b2153813x,77,73,b2153813x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2153813x/b2153813x_alto/coordinates/77.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/15/items/b2153813x/b2153813x_thumb/b2153813x_0077.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/15/items/b2153813x/b2153813x_jp2/b2153813x_0077.jp2
ukmhl-b2153813x-55,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2153813x-55?routing=ukmhl-b2153813x,55,51,b2153813x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2153813x/b2153813x_alto/coordinates/55.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/15/items/b2153813x/b2153813x_thumb/b2153813x_0055.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/15/items/b2153813x/b2153813x_jp2/b2153813x_0055.jp2
ukmhl-b2153813x-1,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2153813x-1?routing=ukmhl-b2153813x,1,-,b2153813x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2153813x/b2153813x_alto/coordinates/1.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/15/items/b2153813x/b2153813x_thumb/b2153813x_0001.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/15/items/b2153813x/b2153813x_jp2/b2153813x_0001.jp2
ukmhl-b2153813x-92,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2153813x-92?routing=ukmhl-b2153813x,92,88,b2153813x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2153813x/b2153813x_alto/coordinates/92.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/15/items/b2153813x/b2153813x_thumb/b2153813x_0092.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/15/items/b2153813x/b2153813x_jp2/b2153813x_0092.jp2
ukmhl-b2153813x-89,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2153813x-89?routing=ukmhl-b2153813x,89,85,b2153813x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2153813x/b2153813x_alto/coordinates/89.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/15/items/b2153813x/b2153813x_thumb/b2153813x_0089.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/15/items/b2153813x/b2153813x_jp2/b2153813x_0089.jp2
ukmhl-b2153813x-90,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2153813x-90?routing=ukmhl-b2153813x,90,86,b2153813x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2153813x/b2153813x_alto/coordinates/90.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/15/items/b2153813x/b2153813x_thumb/b2153813x_0090.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/15/items/b2153813x/b2153813x_jp2/b2153813x_0090.jp2
ukmhl-b2153813x-28,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2153813x-28?routing=ukmhl-b2153813x,28,24,b2153813x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2153813x/b2153813x_alto/coordinates/28.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/15/items/b2153813x/b2153813x_thumb/b2153813x_0028.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/15/items/b2153813x/b2153813x_jp2/b2153813x_0028.jp2
ukmhl-b2153813x-39,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2153813x-39?routing=ukmhl-b2153813x,39,35,b2153813x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2153813x/b2153813x_alto/coordinates/39.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/15/items/b2153813x/b2153813x_thumb/b2153813x_0039.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/15/items/b2153813x/b2153813x_jp2/b2153813x_0039.jp2
ukmhl-b2153813x-114,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2153813x-114?routing=ukmhl-b2153813x,114,110,b2153813x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2153813x/b2153813x_alto/coordinates/114.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/15/items/b2153813x/b2153813x_thumb/b2153813x_0114.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/15/items/b2153813x/b2153813x_jp2/b2153813x_0114.jp2
ukmhl-b2153813x-10,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2153813x-10?routing=ukmhl-b2153813x,10,6,b2153813x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2153813x/b2153813x_alto/coordinates/10.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/15/items/b2153813x/b2153813x_thumb/b2153813x_0010.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/15/items/b2153813x/b2153813x_jp2/b2153813x_0010.jp2
ukmhl-b2153813x-79,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2153813x-79?routing=ukmhl-b2153813x,79,75,b2153813x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2153813x/b2153813x_alto/coordinates/79.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/15/items/b2153813x/b2153813x_thumb/b2153813x_0079.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/15/items/b2153813x/b2153813x_jp2/b2153813x_0079.jp2
ukmhl-b2153813x-108,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2153813x-108?routing=ukmhl-b2153813x,108,104,b2153813x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2153813x/b2153813x_alto/coordinates/108.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/15/items/b2153813x/b2153813x_thumb/b2153813x_0108.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/15/items/b2153813x/b2153813x_jp2/b2153813x_0108.jp2
ukmhl-b2153813x-102,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2153813x-102?routing=ukmhl-b2153813x,102,98,b2153813x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2153813x/b2153813x_alto/coordinates/102.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/15/items/b2153813x/b2153813x_thumb/b2153813x_0102.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/15/items/b2153813x/b2153813x_jp2/b2153813x_0102.jp2
ukmhl-b2153813x-83,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2153813x-83?routing=ukmhl-b2153813x,83,79,b2153813x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2153813x/b2153813x_alto/coordinates/83.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/15/items/b2153813x/b2153813x_thumb/b2153813x_0083.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/15/items/b2153813x/b2153813x_jp2/b2153813x_0083.jp2
ukmhl-b2153813x-96,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2153813x-96?routing=ukmhl-b2153813x,96,92,b2153813x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2153813x/b2153813x_alto/coordinates/96.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/15/items/b2153813x/b2153813x_thumb/b2153813x_0096.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/15/items/b2153813x/b2153813x_jp2/b2153813x_0096.jp2
