id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b2808455x-174,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2808455x-174?routing=ukmhl-b2808455x,174,-,b2808455x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/27/items/b2808455x/b2808455x_alto/coordinates/174.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/27/items/b2808455x/b2808455x_thumb/b2808455x_0174.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/27/items/b2808455x/b2808455x_jp2/b2808455x_0174.jp2
ukmhl-b2808455x-163,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2808455x-163?routing=ukmhl-b2808455x,163,-,b2808455x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/27/items/b2808455x/b2808455x_alto/coordinates/163.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/27/items/b2808455x/b2808455x_thumb/b2808455x_0163.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/27/items/b2808455x/b2808455x_jp2/b2808455x_0163.jp2
ukmhl-b2808455x-19,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2808455x-19?routing=ukmhl-b2808455x,19,-,b2808455x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/27/items/b2808455x/b2808455x_alto/coordinates/19.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/27/items/b2808455x/b2808455x_thumb/b2808455x_0019.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/27/items/b2808455x/b2808455x_jp2/b2808455x_0019.jp2
ukmhl-b2808455x-15,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2808455x-15?routing=ukmhl-b2808455x,15,-,b2808455x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/27/items/b2808455x/b2808455x_alto/coordinates/15.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/27/items/b2808455x/b2808455x_thumb/b2808455x_0015.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/27/items/b2808455x/b2808455x_jp2/b2808455x_0015.jp2
ukmhl-b2808455x-96,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2808455x-96?routing=ukmhl-b2808455x,96,-,b2808455x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/27/items/b2808455x/b2808455x_alto/coordinates/96.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/27/items/b2808455x/b2808455x_thumb/b2808455x_0096.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/27/items/b2808455x/b2808455x_jp2/b2808455x_0096.jp2
ukmhl-b2808455x-37,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2808455x-37?routing=ukmhl-b2808455x,37,-,b2808455x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/27/items/b2808455x/b2808455x_alto/coordinates/37.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/27/items/b2808455x/b2808455x_thumb/b2808455x_0037.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/27/items/b2808455x/b2808455x_jp2/b2808455x_0037.jp2
ukmhl-b2808455x-102,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2808455x-102?routing=ukmhl-b2808455x,102,-,b2808455x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/27/items/b2808455x/b2808455x_alto/coordinates/102.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/27/items/b2808455x/b2808455x_thumb/b2808455x_0102.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/27/items/b2808455x/b2808455x_jp2/b2808455x_0102.jp2
ukmhl-b2808455x-13,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2808455x-13?routing=ukmhl-b2808455x,13,-,b2808455x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/27/items/b2808455x/b2808455x_alto/coordinates/13.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/27/items/b2808455x/b2808455x_thumb/b2808455x_0013.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/27/items/b2808455x/b2808455x_jp2/b2808455x_0013.jp2
ukmhl-b2808455x-17,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2808455x-17?routing=ukmhl-b2808455x,17,-,b2808455x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/27/items/b2808455x/b2808455x_alto/coordinates/17.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/27/items/b2808455x/b2808455x_thumb/b2808455x_0017.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/27/items/b2808455x/b2808455x_jp2/b2808455x_0017.jp2
ukmhl-b2808455x-171,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2808455x-171?routing=ukmhl-b2808455x,171,-,b2808455x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/27/items/b2808455x/b2808455x_alto/coordinates/171.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/27/items/b2808455x/b2808455x_thumb/b2808455x_0171.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/27/items/b2808455x/b2808455x_jp2/b2808455x_0171.jp2
