id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b28090317-30,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b28090317-30?routing=ukmhl-b28090317,30,-,b28090317,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/3/items/b28090317/b28090317_alto/coordinates/30.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b28090317/b28090317_thumb/b28090317_0030.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b28090317/b28090317_jp2/b28090317_0030.jp2
ukmhl-b28090317-98,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b28090317-98?routing=ukmhl-b28090317,98,-,b28090317,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/3/items/b28090317/b28090317_alto/coordinates/98.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b28090317/b28090317_thumb/b28090317_0098.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b28090317/b28090317_jp2/b28090317_0098.jp2
ukmhl-b28090317-239,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b28090317-239?routing=ukmhl-b28090317,239,-,b28090317,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/3/items/b28090317/b28090317_alto/coordinates/239.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b28090317/b28090317_thumb/b28090317_0239.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b28090317/b28090317_jp2/b28090317_0239.jp2
ukmhl-b28090317-47,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b28090317-47?routing=ukmhl-b28090317,47,-,b28090317,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/3/items/b28090317/b28090317_alto/coordinates/47.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b28090317/b28090317_thumb/b28090317_0047.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b28090317/b28090317_jp2/b28090317_0047.jp2
ukmhl-b28090317-238,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b28090317-238?routing=ukmhl-b28090317,238,-,b28090317,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/3/items/b28090317/b28090317_alto/coordinates/238.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b28090317/b28090317_thumb/b28090317_0238.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b28090317/b28090317_jp2/b28090317_0238.jp2
ukmhl-b28090317-159,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b28090317-159?routing=ukmhl-b28090317,159,-,b28090317,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/3/items/b28090317/b28090317_alto/coordinates/159.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b28090317/b28090317_thumb/b28090317_0159.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b28090317/b28090317_jp2/b28090317_0159.jp2
ukmhl-b28090317-166,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b28090317-166?routing=ukmhl-b28090317,166,-,b28090317,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/3/items/b28090317/b28090317_alto/coordinates/166.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b28090317/b28090317_thumb/b28090317_0166.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b28090317/b28090317_jp2/b28090317_0166.jp2
ukmhl-b28090317-233,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b28090317-233?routing=ukmhl-b28090317,233,-,b28090317,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/3/items/b28090317/b28090317_alto/coordinates/233.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b28090317/b28090317_thumb/b28090317_0233.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b28090317/b28090317_jp2/b28090317_0233.jp2
ukmhl-b28090317-121,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b28090317-121?routing=ukmhl-b28090317,121,-,b28090317,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/3/items/b28090317/b28090317_alto/coordinates/121.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b28090317/b28090317_thumb/b28090317_0121.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b28090317/b28090317_jp2/b28090317_0121.jp2
ukmhl-b28090317-171,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b28090317-171?routing=ukmhl-b28090317,171,-,b28090317,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/3/items/b28090317/b28090317_alto/coordinates/171.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/3/items/b28090317/b28090317_thumb/b28090317_0171.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/3/items/b28090317/b28090317_jp2/b28090317_0171.jp2
