id,url,record,summary title,identifiers,collection,authors,publication dates,publication places,publisher,volume,series dates,topics,notes,dimensions,extents,page count,image count,page numbers,illustrated,toc,thumb,pdf,epub,text,illustrations
ukmhl-b21300963_0002,https://ukmhl.historicaltexts.jisc.ac.uk/ukmhl-b21300963_0002,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/publication/ukmhl-b21300963_0002,"The surgical works of John Abernethy, F.R.S",[document] b21300963_0002 | [UkLU-K] 000564272 | [UkLW] b21300963 | ,"King's College London, Foyle Special Collections Library | ","Abernethy, John | ",1811 | ,London | ,"Longman, Hurst, Rees, Orme, And Brown | ",2 | ,[earliest]1811 | [latest]1811 | ,Tumors | ,"[contents] v. 1. On the consitutional origin and treatment of local diseases; aneurism; diseases resembling syphilis; and diseases of the uretha -- v. 2. On injuries of the head; miscellaneous subjects; tumours; and lumbar abscesses. | [general] Added title page in Vol. 1: ""Surgical observations on the constitutional origin and treatment of local diseases; and on aneurisms"", London, 1809. | [general] Added title page in Vol. 2: ""Surgical observations on injuries of the head; and on miscellaneous subjects"", London, 1810. | [holder of duplicates] This material has been provided by King’s College London. The original may be consulted at King’s College London. | [holder of originals] King’s College London. | ",22 cm | ,2 v | ,502,502,true,true,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/33/items/b21300963_0002/b21300963_0002_alto/toc.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/33/items/b21300963_0002/b21300963_0002_thumb/b21300963_0002_0001.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/pdf/ukmhl/33/items/b21300963_0002/b21300963_0002.pdf,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/33/items/b21300963_0002/b21300963_0002.epub,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/33/items/b21300963_0002/b21300963_0002_djvu.txt,
ukmhl-b24924362,https://ukmhl.historicaltexts.jisc.ac.uk/ukmhl-b24924362,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/publication/ukmhl-b24924362,Researches physiological and pathological,[document] b24924362 | [Glasgow] b17050777 | [UkLW] b24924362 | ,University of Glasgow Library | ,Blundell | ,1825 | ,Southwark | ,E. Cox | ,,,Surgery | ,[holder of duplicates] This material has been provided by The University of Glasgow Library. The original may be consulted at The University of Glasgow Library. | [holder of originals] The University of Glasgow Library. | ,4to | ,146 p | ,170,170,true,true,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/24/items/b24924362/b24924362_alto/toc.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/24/items/b24924362/b24924362_thumb/b24924362_0001.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/pdf/ukmhl/24/items/b24924362/b24924362.pdf,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/24/items/b24924362/b24924362.epub,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/24/items/b24924362/b24924362_djvu.txt,
ukmhl-b2146201x_0004,https://ukmhl.historicaltexts.jisc.ac.uk/ukmhl-b2146201x_0004,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/publication/ukmhl-b2146201x_0004,Traité des maladies chirurgicales et des opérations qui leur conviennent,[document] b2146201x_0004 | [EUW] b2146201x | [Glasgow] b22784196 | ,University of Glasgow Library | ,"Boyer, Alexis | ",1814-1826 | ,Paris | ,"L'auteur, Chez Migneret | ",4 | ,[earliest]1814 | [latest]1826 | ,Surgery | ,[holder of originals] This material has been provided by The University of Glasgow Library. The original may be consulted at The University of Glasgow Library. | ,21 cm | ,11 v | ,644,644,true,true,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b2146201x_0004/b2146201x_0004_alto/toc.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/9/items/b2146201x_0004/b2146201x_0004_thumb/b2146201x_0004_0001.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/pdf/ukmhl/9/items/b2146201x_0004/b2146201x_0004.pdf,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b2146201x_0004/b2146201x_0004.epub,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b2146201x_0004/b2146201x_0004_djvu.txt,
ukmhl-b21461806_0001,https://ukmhl.historicaltexts.jisc.ac.uk/ukmhl-b21461806_0001,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/publication/ukmhl-b21461806_0001,Cooper's dictionary of practical surgery and encyclopaedia of surgical science,[document] b21461806_0001 | [EUW] b21461806 | [Glasgow] b22773022 | ,University of Glasgow Library | ,"Cooper, Samuel | ",1861-1872 | ,London | ,Longman | ,1 | ,[earliest]1861 | [latest]1872 | ,Surgery | ,[holder of originals] This material has been provided by The University of Glasgow Library. The original may be consulted at The University of Glasgow Library. | ,23 cm | ,2 v | ,1104,1104,true,true,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/17/items/b21461806_0001/b21461806_0001_alto/toc.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/17/items/b21461806_0001/b21461806_0001_thumb/b21461806_0001_0001.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/pdf/ukmhl/17/items/b21461806_0001/b21461806_0001.pdf,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/17/items/b21461806_0001/b21461806_0001.epub,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/17/items/b21461806_0001/b21461806_0001_djvu.txt,
ukmhl-b21928514,https://ukmhl.historicaltexts.jisc.ac.uk/ukmhl-b21928514,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/publication/ukmhl-b21928514,"Letter to the chairman of the Joint Committee of Medical and Surgical professors, &c.",[document] b21928514 | [UkLW] b21928514 | ,Royal College of Physicians of Edinburgh (RCPE) | ,,1839? | ,Edinburgh | ,"Balfour & Jack, Printers | ",,,Surgery | ,"[general] Resp: Letter signed: Geo. Ballingall.--p. 8 Cont: Includes: Letter to Henry Warburton, Esq., Chairman of a Committee of the House of Commons appointed to inquire into the state of the medical profession Bndg: Bound with other works Prov: Inscribed ""Dr Craigie"" | [holder of duplicates] This material has been provided by the Royal College of Physicians of Edinburgh. The original may be consulted at the Royal College of Physicians of Edinburgh. | [holder of originals] Royal College of Physicians of Edinburgh. | ",,23 p | ,26,26,true,true,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/20/items/b21928514/b21928514_alto/toc.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/20/items/b21928514/b21928514_thumb/b21928514_0001.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/pdf/ukmhl/20/items/b21928514/b21928514.pdf,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/20/items/b21928514/b21928514.epub,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/20/items/b21928514/b21928514_djvu.txt,
ukmhl-b24927909_0004,https://ukmhl.historicaltexts.jisc.ac.uk/ukmhl-b24927909_0004,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/publication/ukmhl-b24927909_0004,"The surgical and physiological works of John Abernethy, F.R.S.",[document] b24927909_0004 | [Glasgow] b17614478 | [UkLW] b24927909 | ,University of Glasgow Library | ,"Abernethy, John | ",1830 | ,London | ,,0004 | ,[earliest]1830 | [latest]1830 | ,Surgery | ,[holder of duplicates] This material has been provided by The University of Glasgow Library. The original may be consulted at The University of Glasgow Library. | [holder of originals] The University of Glasgow Library. | ,8vo | ,4 v | ,236,236,true,true,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/14/items/b24927909_0004/b24927909_0004_alto/toc.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/28/items/b24927909_0004/b24927909_0004_thumb/b24927909_0004_0001.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/pdf/ukmhl/28/items/b24927909_0004/b24927909_0004.pdf,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/28/items/b24927909_0004/b24927909_0004.epub,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/28/items/b24927909_0004/b24927909_0004_djvu.txt,
ukmhl-b21470194,https://ukmhl.historicaltexts.jisc.ac.uk/ukmhl-b21470194,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/publication/ukmhl-b21470194,The principles of surgery,[document] b21470194 | [Glasgow] b22775237 | [UkLW] b21470194 | ,University of Glasgow Library | ,"Syme, James | ",1863 | ,London | ,Murray | ,,,Surgery | ,[general] Includes index. | [holder of duplicates] This material has been provided by The University of Glasgow Library. The original may be consulted at The University of Glasgow Library. | [holder of originals] The University of Glasgow Library. | ,22 cm | ,"xx, 555 p | ",582,582,true,true,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b21470194/b21470194_alto/toc.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b21470194/b21470194_thumb/b21470194_0001.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/pdf/ukmhl/32/items/b21470194/b21470194.pdf,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b21470194/b21470194.epub,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b21470194/b21470194_djvu.txt,
ukmhl-b21937114,https://ukmhl.historicaltexts.jisc.ac.uk/ukmhl-b21937114,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/publication/ukmhl-b21937114,Mémoires de médecine et de chirurgie pratiques,[document] b21937114 | [UkLW] b21937114 | ,Royal College of Physicians of Edinburgh (RCPE) | ,,1862 | ,Londres | ,H. Bailliere | J.-b. Baillière | Paris | ,,,Surgery | ,[general] Desc: With a half title. | [holder of duplicates] This material has been provided by the Royal College of Physicians of Edinburgh. The original may be consulted at the Royal College of Physicians of Edinburgh. | [holder of originals] Royal College of Physicians of Edinburgh. | ,,"xii, 527 p | ",558,558,true,true,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/31/items/b21937114/b21937114_alto/toc.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/31/items/b21937114/b21937114_thumb/b21937114_0001.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/pdf/ukmhl/31/items/b21937114/b21937114.pdf,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/31/items/b21937114/b21937114.epub,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/31/items/b21937114/b21937114_djvu.txt,
ukmhl-b21473444,https://ukmhl.historicaltexts.jisc.ac.uk/ukmhl-b21473444,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/publication/ukmhl-b21473444,Remarks on a recent effort to subvert the charter of the Royal College of Surgeons,[document] b21473444 | [Glasgow] b19234983 | [UkLW] b21473444 | ,Royal College of Surgeons of England | University of Glasgow Library | ,"Cooke, William | ",1826 | ,London | ,Thomas And George Underwood | ,,,Surgery | ,[holder of duplicates] This material has been provided by The University of Glasgow Library. The original may be consulted at The University of Glasgow Library. | [holder of originals] The University of Glasgow Library. | ,21 cm | ,89 p | ,96,96,true,false,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/12/items/b21473444/b21473444_alto/toc.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/12/items/b21473444/b21473444_thumb/b21473444_0001.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/pdf/ukmhl/12/items/b21473444/b21473444.pdf,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/12/items/b21473444/b21473444.epub,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/12/items/b21473444/b21473444_djvu.txt,
ukmhl-b2146196x_0001,https://ukmhl.historicaltexts.jisc.ac.uk/ukmhl-b2146196x_0001,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/publication/ukmhl-b2146196x_0001,"Leçons orales de clinique chirurgicale, faites à l'Hôtel-Dieu de Paris",[document] b2146196x_0001 | [EUW] b2146196x | [Glasgow] b2278519x | ,University of Glasgow Library | ,"Dupuytren, Guillaume | ",1832-1834 | ,Paris | ,Chez G. Baillière | ,1 | ,[earliest]1832 | [latest]1834 | ,Surgery | ,[holder of originals] This material has been provided by The University of Glasgow Library. The original may be consulted at The University of Glasgow Library. | ,21 cm | ,4 v | ,638,638,true,true,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2146196x_0001/b2146196x_0001_alto/toc.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/32/items/b2146196x_0001/b2146196x_0001_thumb/b2146196x_0001_0001.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/pdf/ukmhl/32/items/b2146196x_0001/b2146196x_0001.pdf,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2146196x_0001/b2146196x_0001.epub,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/32/items/b2146196x_0001/b2146196x_0001_djvu.txt,
