id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b21274150-92,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21274150-92?routing=ukmhl-b21274150,92,76,b21274150,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/24/items/b21274150/b21274150_alto/coordinates/92.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/24/items/b21274150/b21274150_thumb/b21274150_0092.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/24/items/b21274150/b21274150_jp2/b21274150_0092.jp2
ukmhl-b21274150-259,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21274150-259?routing=ukmhl-b21274150,259,-,b21274150,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/24/items/b21274150/b21274150_alto/coordinates/259.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/24/items/b21274150/b21274150_thumb/b21274150_0259.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/24/items/b21274150/b21274150_jp2/b21274150_0259.jp2
ukmhl-b21274150-61,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21274150-61?routing=ukmhl-b21274150,61,45,b21274150,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/24/items/b21274150/b21274150_alto/coordinates/61.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/24/items/b21274150/b21274150_thumb/b21274150_0061.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/24/items/b21274150/b21274150_jp2/b21274150_0061.jp2
ukmhl-b21274150-48,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21274150-48?routing=ukmhl-b21274150,48,32,b21274150,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/24/items/b21274150/b21274150_alto/coordinates/48.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/24/items/b21274150/b21274150_thumb/b21274150_0048.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/24/items/b21274150/b21274150_jp2/b21274150_0048.jp2
ukmhl-b21274150-123,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21274150-123?routing=ukmhl-b21274150,123,107,b21274150,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/24/items/b21274150/b21274150_alto/coordinates/123.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/24/items/b21274150/b21274150_thumb/b21274150_0123.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/24/items/b21274150/b21274150_jp2/b21274150_0123.jp2
ukmhl-b21274150-80,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21274150-80?routing=ukmhl-b21274150,80,64,b21274150,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/24/items/b21274150/b21274150_alto/coordinates/80.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/24/items/b21274150/b21274150_thumb/b21274150_0080.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/24/items/b21274150/b21274150_jp2/b21274150_0080.jp2
ukmhl-b21274150-79,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21274150-79?routing=ukmhl-b21274150,79,63,b21274150,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/24/items/b21274150/b21274150_alto/coordinates/79.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/24/items/b21274150/b21274150_thumb/b21274150_0079.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/24/items/b21274150/b21274150_jp2/b21274150_0079.jp2
ukmhl-b21274150-95,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21274150-95?routing=ukmhl-b21274150,95,79,b21274150,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/24/items/b21274150/b21274150_alto/coordinates/95.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/24/items/b21274150/b21274150_thumb/b21274150_0095.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/24/items/b21274150/b21274150_jp2/b21274150_0095.jp2
ukmhl-b21274150-170,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21274150-170?routing=ukmhl-b21274150,170,154,b21274150,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/24/items/b21274150/b21274150_alto/coordinates/170.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/24/items/b21274150/b21274150_thumb/b21274150_0170.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/24/items/b21274150/b21274150_jp2/b21274150_0170.jp2
ukmhl-b21274150-10,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21274150-10?routing=ukmhl-b21274150,10,6,b21274150,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/24/items/b21274150/b21274150_alto/coordinates/10.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/24/items/b21274150/b21274150_thumb/b21274150_0010.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/24/items/b21274150/b21274150_jp2/b21274150_0010.jp2
