id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b2146201x_0004-508,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2146201x_0004-508?routing=ukmhl-b2146201x_0004,508,-,b2146201x_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b2146201x_0004/b2146201x_0004_alto/coordinates/508.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/9/items/b2146201x_0004/b2146201x_0004_thumb/b2146201x_0004_0510.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/9/items/b2146201x_0004/b2146201x_0004_jp2/b2146201x_0004_0510.jp2
ukmhl-b2146201x_0004-164,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2146201x_0004-164?routing=ukmhl-b2146201x_0004,164,-,b2146201x_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b2146201x_0004/b2146201x_0004_alto/coordinates/164.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/9/items/b2146201x_0004/b2146201x_0004_thumb/b2146201x_0004_0166.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/9/items/b2146201x_0004/b2146201x_0004_jp2/b2146201x_0004_0166.jp2
ukmhl-b2146201x_0004-40,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2146201x_0004-40?routing=ukmhl-b2146201x_0004,40,30,b2146201x_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b2146201x_0004/b2146201x_0004_alto/coordinates/40.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/9/items/b2146201x_0004/b2146201x_0004_thumb/b2146201x_0004_0040.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/9/items/b2146201x_0004/b2146201x_0004_jp2/b2146201x_0004_0040.jp2
ukmhl-b2146201x_0004-324,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2146201x_0004-324?routing=ukmhl-b2146201x_0004,324,-,b2146201x_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b2146201x_0004/b2146201x_0004_alto/coordinates/324.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/9/items/b2146201x_0004/b2146201x_0004_thumb/b2146201x_0004_0326.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/9/items/b2146201x_0004/b2146201x_0004_jp2/b2146201x_0004_0326.jp2
ukmhl-b2146201x_0004-173,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2146201x_0004-173?routing=ukmhl-b2146201x_0004,173,-,b2146201x_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b2146201x_0004/b2146201x_0004_alto/coordinates/173.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/9/items/b2146201x_0004/b2146201x_0004_thumb/b2146201x_0004_0175.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/9/items/b2146201x_0004/b2146201x_0004_jp2/b2146201x_0004_0175.jp2
ukmhl-b2146201x_0004-311,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2146201x_0004-311?routing=ukmhl-b2146201x_0004,311,-,b2146201x_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b2146201x_0004/b2146201x_0004_alto/coordinates/311.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/9/items/b2146201x_0004/b2146201x_0004_thumb/b2146201x_0004_0313.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/9/items/b2146201x_0004/b2146201x_0004_jp2/b2146201x_0004_0313.jp2
ukmhl-b2146201x_0004-113,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2146201x_0004-113?routing=ukmhl-b2146201x_0004,113,103,b2146201x_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b2146201x_0004/b2146201x_0004_alto/coordinates/113.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/9/items/b2146201x_0004/b2146201x_0004_thumb/b2146201x_0004_0113.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/9/items/b2146201x_0004/b2146201x_0004_jp2/b2146201x_0004_0113.jp2
ukmhl-b2146201x_0004-161,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2146201x_0004-161?routing=ukmhl-b2146201x_0004,161,-,b2146201x_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b2146201x_0004/b2146201x_0004_alto/coordinates/161.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/9/items/b2146201x_0004/b2146201x_0004_thumb/b2146201x_0004_0163.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/9/items/b2146201x_0004/b2146201x_0004_jp2/b2146201x_0004_0163.jp2
ukmhl-b2146201x_0004-225,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2146201x_0004-225?routing=ukmhl-b2146201x_0004,225,-,b2146201x_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b2146201x_0004/b2146201x_0004_alto/coordinates/225.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/9/items/b2146201x_0004/b2146201x_0004_thumb/b2146201x_0004_0227.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/9/items/b2146201x_0004/b2146201x_0004_jp2/b2146201x_0004_0227.jp2
ukmhl-b2146201x_0004-401,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2146201x_0004-401?routing=ukmhl-b2146201x_0004,401,-,b2146201x_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b2146201x_0004/b2146201x_0004_alto/coordinates/401.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/9/items/b2146201x_0004/b2146201x_0004_thumb/b2146201x_0004_0403.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/9/items/b2146201x_0004/b2146201x_0004_jp2/b2146201x_0004_0403.jp2
ukmhl-b2146201x_0004-129,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2146201x_0004-129?routing=ukmhl-b2146201x_0004,129,119,b2146201x_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b2146201x_0004/b2146201x_0004_alto/coordinates/129.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/9/items/b2146201x_0004/b2146201x_0004_thumb/b2146201x_0004_0129.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/9/items/b2146201x_0004/b2146201x_0004_jp2/b2146201x_0004_0129.jp2
ukmhl-b2146201x_0004-407,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2146201x_0004-407?routing=ukmhl-b2146201x_0004,407,-,b2146201x_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b2146201x_0004/b2146201x_0004_alto/coordinates/407.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/9/items/b2146201x_0004/b2146201x_0004_thumb/b2146201x_0004_0409.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/9/items/b2146201x_0004/b2146201x_0004_jp2/b2146201x_0004_0409.jp2
ukmhl-b2146201x_0004-621,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2146201x_0004-621?routing=ukmhl-b2146201x_0004,621,-,b2146201x_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b2146201x_0004/b2146201x_0004_alto/coordinates/621.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/9/items/b2146201x_0004/b2146201x_0004_thumb/b2146201x_0004_0623.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/9/items/b2146201x_0004/b2146201x_0004_jp2/b2146201x_0004_0623.jp2
ukmhl-b2146201x_0004-58,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2146201x_0004-58?routing=ukmhl-b2146201x_0004,58,48,b2146201x_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b2146201x_0004/b2146201x_0004_alto/coordinates/58.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/9/items/b2146201x_0004/b2146201x_0004_thumb/b2146201x_0004_0058.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/9/items/b2146201x_0004/b2146201x_0004_jp2/b2146201x_0004_0058.jp2
ukmhl-b2146201x_0004-175,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2146201x_0004-175?routing=ukmhl-b2146201x_0004,175,-,b2146201x_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/9/items/b2146201x_0004/b2146201x_0004_alto/coordinates/175.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/9/items/b2146201x_0004/b2146201x_0004_thumb/b2146201x_0004_0177.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/9/items/b2146201x_0004/b2146201x_0004_jp2/b2146201x_0004_0177.jp2
