id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b21700382_0004-291,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21700382_0004-291?routing=ukmhl-b21700382_0004,291,247,b21700382_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/30/items/b21700382_0004/b21700382_0004_alto/coordinates/291.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/30/items/b21700382_0004/b21700382_0004_thumb/b21700382_0004_0291.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/30/items/b21700382_0004/b21700382_0004_jp2/b21700382_0004_0291.jp2
ukmhl-b21700382_0004-327,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21700382_0004-327?routing=ukmhl-b21700382_0004,327,283,b21700382_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/30/items/b21700382_0004/b21700382_0004_alto/coordinates/327.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/30/items/b21700382_0004/b21700382_0004_thumb/b21700382_0004_0327.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/30/items/b21700382_0004/b21700382_0004_jp2/b21700382_0004_0327.jp2
ukmhl-b21700382_0004-76,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21700382_0004-76?routing=ukmhl-b21700382_0004,76,32,b21700382_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/30/items/b21700382_0004/b21700382_0004_alto/coordinates/76.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/30/items/b21700382_0004/b21700382_0004_thumb/b21700382_0004_0076.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/30/items/b21700382_0004/b21700382_0004_jp2/b21700382_0004_0076.jp2
ukmhl-b21700382_0004-216,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21700382_0004-216?routing=ukmhl-b21700382_0004,216,172,b21700382_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/30/items/b21700382_0004/b21700382_0004_alto/coordinates/216.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/30/items/b21700382_0004/b21700382_0004_thumb/b21700382_0004_0216.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/30/items/b21700382_0004/b21700382_0004_jp2/b21700382_0004_0216.jp2
ukmhl-b21700382_0004-183,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21700382_0004-183?routing=ukmhl-b21700382_0004,183,139,b21700382_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/30/items/b21700382_0004/b21700382_0004_alto/coordinates/183.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/30/items/b21700382_0004/b21700382_0004_thumb/b21700382_0004_0183.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/30/items/b21700382_0004/b21700382_0004_jp2/b21700382_0004_0183.jp2
ukmhl-b21700382_0004-334,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21700382_0004-334?routing=ukmhl-b21700382_0004,334,290,b21700382_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/30/items/b21700382_0004/b21700382_0004_alto/coordinates/334.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/30/items/b21700382_0004/b21700382_0004_thumb/b21700382_0004_0334.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/30/items/b21700382_0004/b21700382_0004_jp2/b21700382_0004_0334.jp2
ukmhl-b21700382_0004-246,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21700382_0004-246?routing=ukmhl-b21700382_0004,246,202,b21700382_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/30/items/b21700382_0004/b21700382_0004_alto/coordinates/246.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/30/items/b21700382_0004/b21700382_0004_thumb/b21700382_0004_0246.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/30/items/b21700382_0004/b21700382_0004_jp2/b21700382_0004_0246.jp2
ukmhl-b21700382_0004-229,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21700382_0004-229?routing=ukmhl-b21700382_0004,229,185,b21700382_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/30/items/b21700382_0004/b21700382_0004_alto/coordinates/229.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/30/items/b21700382_0004/b21700382_0004_thumb/b21700382_0004_0229.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/30/items/b21700382_0004/b21700382_0004_jp2/b21700382_0004_0229.jp2
ukmhl-b21700382_0004-292,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21700382_0004-292?routing=ukmhl-b21700382_0004,292,248,b21700382_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/30/items/b21700382_0004/b21700382_0004_alto/coordinates/292.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/30/items/b21700382_0004/b21700382_0004_thumb/b21700382_0004_0292.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/30/items/b21700382_0004/b21700382_0004_jp2/b21700382_0004_0292.jp2
ukmhl-b21700382_0004-299,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b21700382_0004-299?routing=ukmhl-b21700382_0004,299,255,b21700382_0004,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/30/items/b21700382_0004/b21700382_0004_alto/coordinates/299.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/30/items/b21700382_0004/b21700382_0004_thumb/b21700382_0004_0299.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/30/items/b21700382_0004/b21700382_0004_jp2/b21700382_0004_0299.jp2
