id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b2196905x-15,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2196905x-15?routing=ukmhl-b2196905x,15,-,b2196905x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/28/items/b2196905x/b2196905x_alto/coordinates/15.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/28/items/b2196905x/b2196905x_thumb/b2196905x_0015.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/28/items/b2196905x/b2196905x_jp2/b2196905x_0015.jp2
ukmhl-b2196905x-260,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2196905x-260?routing=ukmhl-b2196905x,260,10,b2196905x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/28/items/b2196905x/b2196905x_alto/coordinates/260.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/28/items/b2196905x/b2196905x_thumb/b2196905x_0260.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/28/items/b2196905x/b2196905x_jp2/b2196905x_0260.jp2
ukmhl-b2196905x-71,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2196905x-71?routing=ukmhl-b2196905x,71,51,b2196905x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/28/items/b2196905x/b2196905x_alto/coordinates/71.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/28/items/b2196905x/b2196905x_thumb/b2196905x_0071.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/28/items/b2196905x/b2196905x_jp2/b2196905x_0071.jp2
ukmhl-b2196905x-160,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2196905x-160?routing=ukmhl-b2196905x,160,140,b2196905x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/28/items/b2196905x/b2196905x_alto/coordinates/160.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/28/items/b2196905x/b2196905x_thumb/b2196905x_0160.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/28/items/b2196905x/b2196905x_jp2/b2196905x_0160.jp2
ukmhl-b2196905x-127,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2196905x-127?routing=ukmhl-b2196905x,127,107,b2196905x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/28/items/b2196905x/b2196905x_alto/coordinates/127.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/28/items/b2196905x/b2196905x_thumb/b2196905x_0127.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/28/items/b2196905x/b2196905x_jp2/b2196905x_0127.jp2
ukmhl-b2196905x-163,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2196905x-163?routing=ukmhl-b2196905x,163,143,b2196905x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/28/items/b2196905x/b2196905x_alto/coordinates/163.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/28/items/b2196905x/b2196905x_thumb/b2196905x_0163.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/28/items/b2196905x/b2196905x_jp2/b2196905x_0163.jp2
ukmhl-b2196905x-123,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2196905x-123?routing=ukmhl-b2196905x,123,103,b2196905x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/28/items/b2196905x/b2196905x_alto/coordinates/123.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/28/items/b2196905x/b2196905x_thumb/b2196905x_0123.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/28/items/b2196905x/b2196905x_jp2/b2196905x_0123.jp2
ukmhl-b2196905x-167,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2196905x-167?routing=ukmhl-b2196905x,167,147,b2196905x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/28/items/b2196905x/b2196905x_alto/coordinates/167.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/28/items/b2196905x/b2196905x_thumb/b2196905x_0167.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/28/items/b2196905x/b2196905x_jp2/b2196905x_0167.jp2
ukmhl-b2196905x-252,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2196905x-252?routing=ukmhl-b2196905x,252,2,b2196905x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/28/items/b2196905x/b2196905x_alto/coordinates/252.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/28/items/b2196905x/b2196905x_thumb/b2196905x_0252.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/28/items/b2196905x/b2196905x_jp2/b2196905x_0252.jp2
ukmhl-b2196905x-202,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2196905x-202?routing=ukmhl-b2196905x,202,182,b2196905x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/28/items/b2196905x/b2196905x_alto/coordinates/202.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/28/items/b2196905x/b2196905x_thumb/b2196905x_0202.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/28/items/b2196905x/b2196905x_jp2/b2196905x_0202.jp2
