id,record,sequence,page number,group,coordinates,thumb,zoom
ukmhl-b2493026x-793,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2493026x-793?routing=ukmhl-b2493026x,793,-,b2493026x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/23/items/b2493026x/b2493026x_alto/coordinates/793.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/23/items/b2493026x/b2493026x_thumb/b2493026x_0793.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/23/items/b2493026x/b2493026x_jp2/b2493026x_0793.jp2
ukmhl-b2493026x-1056,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2493026x-1056?routing=ukmhl-b2493026x,1056,-,b2493026x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/23/items/b2493026x/b2493026x_alto/coordinates/1056.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/23/items/b2493026x/b2493026x_thumb/b2493026x_1056.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/23/items/b2493026x/b2493026x_jp2/b2493026x_1056.jp2
ukmhl-b2493026x-891,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2493026x-891?routing=ukmhl-b2493026x,891,-,b2493026x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/23/items/b2493026x/b2493026x_alto/coordinates/891.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/23/items/b2493026x/b2493026x_thumb/b2493026x_0891.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/23/items/b2493026x/b2493026x_jp2/b2493026x_0891.jp2
ukmhl-b2493026x-134,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2493026x-134?routing=ukmhl-b2493026x,134,-,b2493026x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/23/items/b2493026x/b2493026x_alto/coordinates/134.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/23/items/b2493026x/b2493026x_thumb/b2493026x_0134.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/23/items/b2493026x/b2493026x_jp2/b2493026x_0134.jp2
ukmhl-b2493026x-853,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2493026x-853?routing=ukmhl-b2493026x,853,-,b2493026x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/23/items/b2493026x/b2493026x_alto/coordinates/853.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/23/items/b2493026x/b2493026x_thumb/b2493026x_0853.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/23/items/b2493026x/b2493026x_jp2/b2493026x_0853.jp2
ukmhl-b2493026x-546,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2493026x-546?routing=ukmhl-b2493026x,546,-,b2493026x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/23/items/b2493026x/b2493026x_alto/coordinates/546.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/23/items/b2493026x/b2493026x_thumb/b2493026x_0546.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/23/items/b2493026x/b2493026x_jp2/b2493026x_0546.jp2
ukmhl-b2493026x-789,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2493026x-789?routing=ukmhl-b2493026x,789,-,b2493026x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/23/items/b2493026x/b2493026x_alto/coordinates/789.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/23/items/b2493026x/b2493026x_thumb/b2493026x_0789.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/23/items/b2493026x/b2493026x_jp2/b2493026x_0789.jp2
ukmhl-b2493026x-366,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2493026x-366?routing=ukmhl-b2493026x,366,-,b2493026x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/23/items/b2493026x/b2493026x_alto/coordinates/366.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/23/items/b2493026x/b2493026x_thumb/b2493026x_0366.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/23/items/b2493026x/b2493026x_jp2/b2493026x_0366.jp2
ukmhl-b2493026x-254,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2493026x-254?routing=ukmhl-b2493026x,254,-,b2493026x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/23/items/b2493026x/b2493026x_alto/coordinates/254.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/23/items/b2493026x/b2493026x_thumb/b2493026x_0254.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/23/items/b2493026x/b2493026x_jp2/b2493026x_0254.jp2
ukmhl-b2493026x-1162,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2493026x-1162?routing=ukmhl-b2493026x,1162,-,b2493026x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/23/items/b2493026x/b2493026x_alto/coordinates/1162.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/23/items/b2493026x/b2493026x_thumb/b2493026x_1162.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/23/items/b2493026x/b2493026x_jp2/b2493026x_1162.jp2
ukmhl-b2493026x-368,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2493026x-368?routing=ukmhl-b2493026x,368,-,b2493026x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/23/items/b2493026x/b2493026x_alto/coordinates/368.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/23/items/b2493026x/b2493026x_thumb/b2493026x_0368.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/23/items/b2493026x/b2493026x_jp2/b2493026x_0368.jp2
ukmhl-b2493026x-289,https://ukmhl.historicaltexts.jisc.ac.uk/elasticsearch/ukmhl/page/ukmhl-b2493026x-289?routing=ukmhl-b2493026x,289,-,b2493026x,https://ukmhl.historicaltexts.jisc.ac.uk/media/web/ukmhl/23/items/b2493026x/b2493026x_alto/coordinates/289.json,https://ukmhl.historicaltexts.jisc.ac.uk/media/thumb/ukmhl/23/items/b2493026x/b2493026x_thumb/b2493026x_0289.jpg,https://ukmhl.historicaltexts.jisc.ac.uk/media/zoom/ukmhl/23/items/b2493026x/b2493026x_jp2/b2493026x_0289.jp2
